response_id;birth_year;gender;seniority;industry;household;metro_regional;remote_frequency;remote_preference;collaboration_easy;promotion_reduced;regular_breaks;remote_employer_advantages;remote_with_paycut;barrier_caring_responsibility;barrier_connectivity;barrier_systems_software;barrier_collaboration_remotely;barrier_poor_management;barrier_equipment;barrier_isolation;barrier_costs;barrier_cyber_security;barrier_non_remote_tasks;barrier_workspace;barrier_motivation;barrier_management;barrier_living_situation;barrier_skills;barrier_health_safety;biggest_barrier_hybrid;smallest_barrier_hybrid;remote_feel_better;remote_more_active;colleagues_in_person;productivity
1488;1987;Female;Between 1 and 5 years;Health Care and Social Assistance;Couple with no dependent children;Metro;Rarely or never;I would not have preferred to work remotely;Strongly agree;Neither agree nor disagree;Strongly agree;Somewhat Negative;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Significantly improved;Not a barrier for me;Not a barrier for me;Somewhat improved;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat agree;Strongly disagree;Somewhat disagree;I知 20% less productive when working remotely
1489;1995;Female;Between 6 and 12 months;Financial and Insurance;Single person;Metro;90%;100% - All of my time;Somewhat agree;Neither agree nor disagree;Strongly agree;Strongly Positive;No;Significantly improved;Significantly improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Significantly improved;Stayed about the same;Not a barrier for me;Stayed about the same;Significantly improved;Significantly improved;Stayed about the same;Significantly improved;Significantly improved;Noisy work environment;Difficulty collaborating with remote colleagues;Strongly agree;Strongly agree;Somewhat agree;I知 20% more productive when working remotely
1490;1993;Female;More than 5 years;Administrative and Support;Couple with dependent children;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither positive nor negative;No;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Interruptions;Lack of privacy;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;My productivity is about same when I work remotely
1491;1980;Female;More than 5 years;Financial and Insurance;Multiple family household;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Strongly disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Negative;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat worsened;Significantly improved;Significantly improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Difficulty collaborating with remote colleagues;Noisy work environment;Strongly disagree;Neither agree nor disagree;Neither agree nor disagree;My productivity is about same when I work remotely
1492;1994;Female;Between 1 and 5 years;Financial and Insurance;Multiple family household;Metro;90%;100% - All of my time;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Strongly Positive;No;Not a barrier for me;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Somewhat agree;Strongly disagree;Somewhat agree;I知 30% more productive when working remotely
1493;1986;Male;More than 5 years;Information Media and Telecommunications;Other one family household;Metro;40%;30%;Strongly agree;Somewhat agree;Strongly agree;Strongly Positive;Yes;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;NA;NA;Neither agree nor disagree;Somewhat agree;Neither agree nor disagree;I知 30% more productive when working remotely
1494;1973;Female;Between 6 and 12 months;Arts and Recreation;Single person;Metro;Less than 10% of my time;50% - About half of my time;Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat Negative;No;Not a barrier for me;Somewhat worsened;Stayed about the same;Not a barrier for me;Not a barrier for me;Somewhat worsened;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Stayed about the same;Difficulty collaborating with remote colleagues;Lack of privacy;Strongly agree;Somewhat agree;Somewhat agree;My productivity is about same when I work remotely
1495;1994;Female;Between 6 and 12 months;Manufacturing;One parent family with dependent children;Metro;90%;90%;Strongly agree;Strongly disagree;Somewhat agree;Strongly Positive;No;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Not a barrier for me;Somewhat worsened;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Noisy work environment;Difficulty collaborating with remote colleagues;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I知 40% more productive when working remotely
1496;1988;Male;Between 1 and 5 years;Manufacturing;Couple with dependent children;Metro;10%;20%;Somewhat agree;Somewhat agree;Neither agree nor disagree;Neither positive nor negative;Yes;Somewhat improved;Somewhat worsened;Somewhat improved;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat improved;Somewhat worsened;Stayed about the same;Stayed about the same;Noisy work environment;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat disagree;Neither agree nor disagree;I知 10% more productive when working remotely
1497;1990;Female;More than 5 years;Mining;Couple with dependent children;Regional;40%;80%;Somewhat agree;Somewhat disagree;Strongly disagree;Somewhat Positive;Yes;Somewhat worsened;Somewhat improved;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat improved;Significantly worsened;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Difficulty collaborating with remote colleagues;Interruptions;Neither agree nor disagree;Somewhat agree;Somewhat disagree;I知 20% more productive when working remotely
1498;1995;Female;Between 6 and 12 months;Financial and Insurance;Couple with no dependent children;Metro;100% - I spent all of my time remote working;70%;Strongly agree;Somewhat disagree;Strongly agree;Somewhat Positive;No;Not a barrier for me;Somewhat worsened;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat worsened;Significantly worsened;Somewhat improved;Somewhat worsened;Not a barrier for me;Significantly improved;Somewhat worsened;Significantly improved;Not a barrier for me;Somewhat improved;Not a barrier for me;NA;NA;Strongly agree;Strongly agree;Somewhat agree;I知 30% more productive when working remotely
1499;1976;Female;More than 5 years;Manufacturing;Couple with dependent children;Metro;50% - I spent about half of my time remote working;80%;Strongly agree;Somewhat disagree;Somewhat disagree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;NA;NA;Neither agree nor disagree;Strongly disagree;Neither agree nor disagree;I知 40% more productive when working remotely
1500;1964;Female;More than 5 years;Financial and Insurance;Single person;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Somewhat agree;Strongly agree;Somewhat agree;Somewhat Positive;No;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Significantly worsened;Significantly worsened;Stayed about the same;Somewhat improved;Significantly worsened;Stayed about the same;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat agree;Somewhat agree;Somewhat agree;I知 50% more productive when working remotely (or more)
1501;1980;Female;More than 5 years;Mining;Group household;Metro;20%;50% - About half of my time;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Strongly Positive;No;Not a barrier for me;Significantly improved;Somewhat improved;Significantly improved;Not a barrier for me;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat worsened;Stayed about the same;Significantly worsened;Not a barrier for me;Stayed about the same;Interruptions;Noisy work environment;Somewhat agree;Neither agree nor disagree;Somewhat agree;My productivity is about same when I work remotely
1502;1989;Female;More than 5 years;Other Services;Couple with dependent children;Metro;Less than 10% of my time;40%;Strongly agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;Yes;Somewhat improved;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Not a barrier for me;Somewhat worsened;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;NA;NA;Somewhat agree;Strongly agree;Neither agree nor disagree;My productivity is about same when I work remotely
1503;1979;Male;More than 5 years;Other Services;Couple with dependent children;Regional;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Somewhat agree;Somewhat agree;Somewhat Positive;No;Somewhat worsened;Significantly improved;Significantly improved;Not a barrier for me;Not a barrier for me;Significantly improved;Not a barrier for me;Somewhat worsened;Somewhat improved;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Significantly worsened;Significantly improved;Significantly worsened;NA;NA;Somewhat disagree;Somewhat disagree;Strongly agree;I知 20% less productive when working remotely
1504;1974;Male;Between 6 and 12 months;Construction;Couple with dependent children;Metro;30%;40%;Neither agree nor disagree;Somewhat disagree;Somewhat disagree;Neither positive nor negative;No;Significantly worsened;Significantly worsened;Significantly worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Significantly worsened;Somewhat worsened;Significantly worsened;Somewhat worsened;Somewhat worsened;Somewhat worsened;Significantly worsened;Significantly worsened;Difficulty collaborating with remote colleagues;Noisy work environment;Somewhat disagree;Somewhat disagree;Neither agree nor disagree;I知 40% more productive when working remotely
